Species,abbrev,lm_id,martini3,concentration
LPE 20:4,LPE 20:4,"['LMGP02050067', 'LMGP02050051', 'LMGP02050052', 'LMGP02050009']",['NA'],0.0548229338981817
LPE 20:5,LPE 20:5,"['LMGP02050027', 'LMGP02050053']",['NA'],0.0256244825561377
LPE 22:0,LPE 22:0,"['LMGP02050054', 'LMGP02050025']",['NA'],0.0
LPE 22:1,LPE 22:1,"['LMGP02050055', 'LMGP02050068', 'LMGP02050023']",['NA'],0.0
LPE 22:2,LPE 22:2,"['LMGP02050056', 'LMGP02050024']",['NA'],2.31005265572881e-05
LPE 22:4,LPE 22:4,"['LMGP02050014', 'LMGP02050057']",['NA'],0.0015729888325189
LPE 22:5,LPE 22:5,"['LMGP02050070', 'LMGP02050058', 'LMGP02050069', 'LMGP02050059']",['NA'],0.0280412957553314
LPE 22:6,LPE 22:6,"['LMGP02050013', 'LMGP02050060']",['NA'],0.0407114886115228
LPEO- 16:0,LPE O-16:0,['LMGP02060002'],['NA'],0.0
LPEO- 16:1,NA,['NA'],['NA'],0.0097017835922575
LPEO- 18:0,LPE O-18:0,['LMGP02060003'],['NA'],0.0
LPEO- 18:1,LPE O-18:1,"['LMGP02060004', 'LMGP02070002']",['NA'],0.0
LPEO- 18:2,NA,['NA'],['NA'],0.0037200205093383
LPEO- 20:1,NA,['NA'],['NA'],9.7191827421882e-05
LPEO- 20:2,NA,['NA'],['NA'],0.0
LPEO- 22:1,NA,['NA'],['NA'],0.0
LPEO- 22:2,NA,['NA'],['NA'],0.0
LPEO- 22:6,NA,['NA'],['NA'],0.0002342776589384
LPG 16:0,LPG 16:0,['LMGP04050008'],['NA'],6.45962840770124e-05
LPG 16:1,LPG 16:1,['LMGP04050013'],['NA'],0.0
LPG 18:0,LPG 18:0,['LMGP04050009'],['NA'],0.0
LPG 18:1,LPG 18:1,['LMGP04050006'],['NA'],0.0
LPG 18:2,LPG 18:2,['LMGP04050014'],['NA'],0.0
LPG 20:1,LPG 20:1,['LMGP04050023'],['NA'],0.0
LPG 22:6,LPG 22:6,['LMGP04050016'],['NA'],0.0
LPI 16:0,LPI 16:0,['LMGP06050002'],['NA'],0.0300380338033109
LPI 16:1,LPI 16:1,['LMGP06050009'],['NA'],0.0315136597663275
LPI 18:0,LPI 18:0,['LMGP06050004'],['NA'],0.174705560103602
LPI 18:1,LPI 18:1,['LMGP06050005'],['NA'],0.151550395925253
LPI 20:1,LPI 20:1,['LMGP06050019'],['NA'],0.0
LPI 20:2,LPI 20:2,['LMGP06050020'],['NA'],0.0
LPI 20:3,LPI 20:3,['LMGP06050021'],['NA'],0.0
